OBJECTID,PARCEL_I,STNUMBER,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_STNAME,CITY,ZIPCODE,ADDRESS,STATUS,SHAPEAREA,SHAPELEN
660438,1063344,3624,N,KEYSTONE,AVE,,KEYSTONE AVE,INDIANAPOLIS,46218,3624 N KEYSTONE AVE,Vacant,5598.71042120781,360.325421791569
660449,1041724,2328,,SPANN,AVE,,SPANN AVE,INDIANAPOLIS,46203,2328 SPANN AVE,Abandoned,4199.32353468336,339.962214082261
660512,1097463,3129,,STATION,ST,,STATION ST,INDIANAPOLIS,46218,3129 STATION ST,Abandoned,10119.7052164623,501.203671412806
660526,1015810,614,E,33RD,ST,,33RD ST,INDIANAPOLIS,46205,614 E 33RD ST,Abandoned,2000.45481428202,180.029700076169
660584,1007230,36,,SCHILLER,ST,,SCHILLER ST,INDIANAPOLIS,46225,36 SCHILLER ST,Abandoned,3255.23261243495,272.024319171032
660596,1057788,1459,W,33RD,ST,,33RD ST,INDIANAPOLIS,46208,1459 W 33RD ST,Abandoned,10149.9357330411,430.000517159047
660659,1050967,1234,E,PLEASANT RUN PKWY,NDR,,PLEASANT RUN PKWY NDR,INDIANAPOLIS,46203,1234 E PLEASANT RUN PKWY NDR,Vacant,5186.2288696743,331.576137054789
660681,1061197,624,N,GRAY,ST,,GRAY ST,INDIANAPOLIS,46201,624 N GRAY ST,Abandoned,5600.32590897509,360.023686640976
660715,1053304,913,N,DEARBORN,ST,,DEARBORN ST,INDIANAPOLIS,46201,913 N DEARBORN ST,Abandoned,4816.81858921162,318.309072710364
660721,1039794,527,N,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,527 N PARKER AVE,Abandoned,5414.14156063273,366.683629017932
660722,1019717,417,N,LASALLE,ST,,LASALLE ST,INDIANAPOLIS,46201,417 N LASALLE ST,Vacant,5920.61457828536,364.594442977932
660735,1073497,434,N,OAKLAND,AVE,,OAKLAND AVE,INDIANAPOLIS,46201,434 N OAKLAND AVE,Abandoned,4398.39865930836,301.693107480192
660751,1004028,634,N,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,634 N PARKER AVE,Abandoned,5109.48399043693,340.01940224135
660752,1050621,415,N,DEARBORN,ST,,DEARBORN ST,INDIANAPOLIS,46201,415 N DEARBORN ST,Abandoned,4320.08997625069,312.009836899291
660758,1008124,445,N,LASALLE,ST,,LASALLE ST,INDIANAPOLIS,46201,445 N LASALLE ST,Abandoned,4658.81628041478,342.023039288518
660760,1088980,3550,E,NEW YORK,ST,,NEW YORK ST,INDIANAPOLIS,46201,3550 E NEW YORK ST,Abandoned,5489.82057346884,358.501126512122
660761,1029041,3328,,ROBSON,ST,,ROBSON ST,INDIANAPOLIS,46201,3328 ROBSON ST,Abandoned,5053.80125500054,342.003892262775
660830,1049286,1852,,SHELBY,ST,,SHELBY ST,INDIANAPOLIS,46203,1852 SHELBY ST,Vacant,5177.6156716108,351.135014146806
660918,1022227,2937,N,GLADSTONE,AVE,,GLADSTONE AVE,INDIANAPOLIS,46218,2937 N GLADSTONE AVE,Vacant,6392.58672649369,399.632519413591
660919,1042448,3008,N,GLADSTONE,AVE,,GLADSTONE AVE,INDIANAPOLIS,46218,3008 N GLADSTONE AVE,Abandoned,3994.59728755508,282.836669143176
660941,1021219,2739,N,DENNY,ST,,DENNY ST,INDIANAPOLIS,46218,2739 N DENNY ST,Abandoned,6947.94100077771,444.775955873941
660965,1084645,2969,N,CHESTER,AVE,,CHESTER AVE,INDIANAPOLIS,46218,2969 N CHESTER AVE,Abandoned,7578.48636335113,459.671636669799
660991,1007556,1315,N,LASALLE,ST,,LASALLE ST,INDIANAPOLIS,46201,1315 N LASALLE ST,Abandoned,5322.78541576552,374.159829060825
661010,1074965,1121,N,DEARBORN,ST,,DEARBORN ST,INDIANAPOLIS,46201,1121 N DEARBORN ST,Abandoned,6053.07136664556,382.651068794215
661020,1020670,1518,N,LASALLE,ST,,LASALLE ST,INDIANAPOLIS,46201,1518 N LASALLE ST,Abandoned,6097.78736273075,384.890076365076
661036,1011804,1318,N,LASALLE,ST,,LASALLE ST,INDIANAPOLIS,46201,1318 N LASALLE ST,Abandoned,6079.56086140431,383.979030352123
661037,1019306,1302,N,EWING,ST,,EWING ST,INDIANAPOLIS,46201,1302 N EWING ST,Abandoned,6011.96622294108,340.199425911386
661038,1011053,1326,N,EWING,ST,,EWING ST,INDIANAPOLIS,46201,1326 N EWING ST,Abandoned,4799.94159080249,319.999332230648
661124,1050021,3161,N,GALE,ST,,GALE ST,INDIANAPOLIS,46218,3161 N GALE ST,Abandoned,9511.19112232625,394.823734878918
661168,1080350,956,,LYNN,ST,,LYNN ST,INDIANAPOLIS,46222,956 LYNN ST,Abandoned,9001.31707058334,390.024586505453
661243,1038344,1435,S,ILLINOIS,ST,,ILLINOIS ST,INDIANAPOLIS,46225,1435 S ILLINOIS ST,Vacant,3858.66666740123,325.562198377611
661352,1011557,444,S,OXFORD,ST,,OXFORD ST,INDIANAPOLIS,46201,442 S OXFORD ST,Abandoned,5207.92613342378,341.797668593238
661359,1068678,431,S,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,431 S PARKER AVE,Abandoned,5280.18011358914,344.017873040805
661367,1051033,323,S,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,323 S PARKER AVE,Abandoned,5280.63289927558,344.017460804024
661371,1079370,249,S,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,249 S PARKER AVE,Abandoned,5280.80289836093,344.027401836375
661394,1051753,446,S,PARKER,AVE,,PARKER AVE,INDIANAPOLIS,46201,446 S PARKER AVE,Abandoned,10559.6553581228,424.00796120671
661430,2003450,7615,S,MOORESVILLE,RD,,MOORESVILLE RD,INDIANAPOLIS,46221,7615 S MOORESVILLE RD,Abandoned,8711.70406108482,395.990977907541
661454,1016378,2705,,INDIANAPOLIS,AVE,,INDIANAPOLIS AVE,INDIANAPOLIS,46208,2705 INDIANAPOLIS AVE,Abandoned,10842.9660419603,431.071274698204
661468,1030373,122,N,BRADLEY,AVE,,BRADLEY AVE,INDIANAPOLIS,46201,122 N BRADLEY AVE,Abandoned,10684.175718776,428.286402583025
662011,2012141,5412,,POWDER RIVER,CT,,POWDER RIVER CT,INDIANAPOLIS,46221,5412 POWDER RIVER CT,Abandoned,9797.70884425667,444.676945113251
662252,4001896,3824,N,RIDGEVIEW,DR,,RIDGEVIEW DR,INDIANAPOLIS,46226,3824 N RIDGEVIEW DR,Abandoned,29997.2790610285,799.979242461653
662254,8018855,3903,N,KENWOOD,AVE,,KENWOOD AVE,INDIANAPOLIS,46208,3903 N KENWOOD AVE,Abandoned,5279.99894516155,344.000391652795
662281,8020399,3901,,CLARENDON,RD,,CLARENDON RD,INDIANAPOLIS,46208,3901 CLARENDON RD,Abandoned,6875.31269506934,360.010779177153
662330,8019405,4024,,EASTERN,AVE,,EASTERN AVE,INDIANAPOLIS,46205,4024 EASTERN AVE,Abandoned,6560.72364002301,402.036792522779
662354,8031969,4150,,ROSELAWN,DR,,ROSELAWN DR,INDIANAPOLIS,46226,4150 ROSELAWN DR,Abandoned,9799.32713859473,419.990232714717
662356,8022637,4001,,MILLERSVILLE,DR,,MILLERSVILLE DR,INDIANAPOLIS,46205,4001 MILLERSVILLE DR,Abandoned,5630.8932417101,341.74624776812
662386,8011918,925,E,40TH,ST,,40TH ST,INDIANAPOLIS,46205,925 E 40TH ST,Abandoned,3114.22975804539,228.978801492642
662448,8019799,3836,,GRACELAND,AVE,,GRACELAND AVE,INDIANAPOLIS,46208,3836 GRACELAND AVE,Abandoned,5200.39948830002,340.020418623329
662481,4002635,3815,N,SHADELAND,AVE,,SHADELAND AVE,INDIANAPOLIS,46226,3815 N SHADELAND AVE,Vacant,33948.7476793515,847.080881797557
662489,4014048,3939,,MALIBU,DR,,MALIBU DR,INDIANAPOLIS,46226,3939 MALIBU DR,Abandoned,7863.38179087511,377.673316341004
662559,8023382,4058,,CORNELIUS,AVE,,CORNELIUS AVE,INDIANAPOLIS,46208,4058 CORNELIUS AVE,Abandoned,5000.02101035465,330.00028484625
662595,4003115,4106,N,PASADENA,ST,,PASADENA ST,INDIANAPOLIS,46226,4106 N PASADENA ST,Abandoned,6874.42279771719,374.998299455457
662606,2001432,3337,S,RYBOLT,AVE,,RYBOLT AVE,INDIANAPOLIS,46221,3337 S RYBOLT AVE,Abandoned,7800.04127530292,380.001146000437
662855,8021067,348,W,43RD,ST,,43RD ST,INDIANAPOLIS,46208,348 W 43RD ST,Abandoned,5981.3234873239,349.036985823361
662900,8017661,4558,,GUILFORD,AVE,,GUILFORD AVE,INDIANAPOLIS,46205,4558 GUILFORD AVE,Vacant,5800.58168491413,370.009854702951
662920,8009595,4221,,RALSTON,AVE,,RALSTON AVE,INDIANAPOLIS,46205,4221 RALSTON AVE,Vacant,5560.23650966968,358.012799966507
662940,8020113,2036,E,46TH,ST,,46TH ST,INDIANAPOLIS,46205,2036 E 46TH ST,Vacant,5471.29400205331,358.584329225206
662959,8021996,4229,,CRITTENDEN,AVE,,CRITTENDEN AVE,INDIANAPOLIS,46205,4229 CRITTENDEN AVE,Abandoned,5200.43046832486,340.022750292208
662961,4006271,4315,N,RITTER,AVE,,RITTER AVE,INDIANAPOLIS,46226,4315 N RITTER AVE,Abandoned,15070.1588295058,536.760388701392
663147,8021029,2017,E,44TH,ST,,44TH ST,INDIANAPOLIS,46205,2017 E 44TH ST,Abandoned,5120.01345741789,336.008444428262
663255,4007067,4451,,PRISCILLA,AVE,,PRISCILLA AVE,INDIANAPOLIS,46226,4451 PRISCILLA AVE,Abandoned,11271.5469813315,462.057006128757
663329,4014073,5839,,WINSTON,DR,,WINSTON DR,INDIANAPOLIS,46226,5839 WINSTON DR,Abandoned,15983.4340368059,543.679856238919
663616,8015633,5342,,BROADWAY,ST,,BROADWAY ST,INDIANAPOLIS,46220,5342 BROADWAY ST,Vacant,7030.00468501287,431.505874212667
663941,8007024,6199,,COLONIAL,AVE,,COLONIAL AVE,INDIANAPOLIS,46228,6199 COLONIAL AVE,Abandoned,13306.7154449725,463.463745074607
664037,8023678,6328,N,COLLEGE,AVE,,COLLEGE AVE,INDIANAPOLIS,46220,6328 N COLLEGE AVE,Abandoned,7874.63029673569,414.989488059363
664224,4010023,6335,,BREAMORE,RD,,BREAMORE RD,INDIANAPOLIS,46220,6335 BREAMORE RD,Abandoned,20899.7883741609,585.473908089481
664257,8045691,1941,W,64TH,ST,,64TH ST,INDIANAPOLIS,46260,1941 W 64TH ST,Abandoned,15184.7922015754,535.861433100336
664319,8024162,7103,,RALSTON,AVE,,RALSTON AVE,INDIANAPOLIS,46220,7103 RALSTON AVE,Abandoned,5000.52462033181,300.026152191653
665882,1028763,306,E,CAVEN,ST,,CAVEN ST,INDIANAPOLIS,46225,306 E CAVEN ST,Abandoned,7059.05002681616,348.604716907212
665894,1047216,2510,,ENGLISH,AVE,,ENGLISH AVE,INDIANAPOLIS,46201,2510 ENGLISH AVE,Vacant,16625.3252268004,520.850960281543
665945,1072603,1910,,KILDARE,AVE,,KILDARE AVE,INDIANAPOLIS,46218,1914 KILDARE AVE,Abandoned,6159.96116092284,367.999197624051
666156,2000590,3049,,KENTUCKY,AVE,,KENTUCKY AVE,INDIANAPOLIS,46221,3049 KENTUCKY AVE,Abandoned,12002.7428417997,434.632384510678
666260,7012948,405,S,SPENCER,AVE,,SPENCER AVE,INDIANAPOLIS,46219,405 S SPENCER AVE,Abandoned,5800.14503178917,370.004434086721
666338,7012815,5138,,ENGLISH,AVE,,ENGLISH AVE,INDIANAPOLIS,46219,5138 ENGLISH AVE,Abandoned,5714.93438238963,356.197210014347
666513,7015400,6208,,RALEIGH,DR,,RALEIGH DR,INDIANAPOLIS,46219,6208 RALEIGH DR,Vacant,7090.79106472632,362.248386730684
666561,7015636,6036,E,25TH,ST,,25TH ST,INDIANAPOLIS,46219,6036 E 25TH ST,Abandoned,12174.1438774396,456.741799684274
666597,7016376,6192,,NIMITZ,DR,,NIMITZ DR,INDIANAPOLIS,46219,6192 NIMITZ DR,Abandoned,7200.20414567229,360.005110660529
666652,7015562,6132,E,24TH,ST,,24TH ST,INDIANAPOLIS,46219,6132 E 24TH ST,Abandoned,9269.70678466395,431.89551116708
666849,7035471,914,,WOODLARK,DR,,WOODLARK DR,INDIANAPOLIS,46229,914 WOODLARK DR,Vacant,7440.06248222896,363.996687890316
667059,7015623,6002,E,24TH,ST,,24TH ST,INDIANAPOLIS,46219,6002 E 24TH ST,Abandoned,7200.60528675369,360.014186382269
667130,7028608,3643,,HORTH,CT,,HORTH CT,INDIANAPOLIS,46235,3643 HORTH CT,Vacant,7114.26381574947,353.487614750093
667142,7005917,2757,N,BUTLER,AVE,,BUTLER AVE,INDIANAPOLIS,46218,2757 N BUTLER AVE,Abandoned,7704.69665123387,374.62506199427
667201,7033230,10125,E,33RD,ST,,33RD ST,INDIANAPOLIS,46235,10125 E 33RD ST,Abandoned,7557.59608681233,365.940235734434
667274,7024743,8002,,ROY,RD,,ROY RD,INDIANAPOLIS,46219,8002 ROY RD,Abandoned,14424.8402075744,486.792641481691
667329,7005698,3517,N,LELAND,AVE,,LELAND AVE,INDIANAPOLIS,46218,3517 N LELAND AVE,Abandoned,10875.4972682363,535.050937032637
667384,7023204,7824,,RENFREW,DR,,RENFREW DR,INDIANAPOLIS,46226,7824 RENFREW DR,Abandoned,12252.9601531592,459.008608021923
667481,1057364,1048,,ST PETER,ST,,ST PETER ST,INDIANAPOLIS,46203,1046 ST PETER ST,Abandoned,5000.20245213066,330.010392600347
667481,1057364,1048,,ST PETER,ST,,ST PETER ST,INDIANAPOLIS,46203,1048 ST PETER ST,Abandoned,5000.20245213066,330.010392600347
667541,1039565,1323,S,EAST,ST,,EAST ST,INDIANAPOLIS,46225,1323 S EAST ST,Abandoned,4250.00385118884,299.685934328532
