ZIPCODE,ADDRESS,STATUS
46208,1145 ROACHE ST,Abandoned
46201,35 S LASALLE ST,Abandoned
46208,1302 ROACHE ST,Abandoned
46208,1305 W 27TH ST,Abandoned
46201,331 N DEARBORN ST,Abandoned
46208,2615 WHITE AVE,Abandoned
46208,2614 N HARDING ST,Abandoned
46208,1366 ROACHE ST,Abandoned
46208,1354 W 27TH ST,Abandoned
46203,735 E MINNESOTA ST,Abandoned
46203,1601 LEONARD ST,Abandoned
46218,2436 N OXFORD ST,Abandoned
46203,638 VIRGINIA AVE,Abandoned
46205,912 E 25TH ST,Abandoned
46201,1120 N RURAL ST,Abandoned
46225,414 E CAVEN ST,Abandoned
46202,666 E 22ND ST,Abandoned
46201,315 S RANDOLPH ST,Abandoned
46201,318 S RANDOLPH ST,Abandoned
46205,3115 GUILFORD AVE,Abandoned
46205,2329 CARROLLTON AVE,Abandoned
46225,145 WISCONSIN ST,Abandoned
46205,2305 CARROLLTON AVE,Abandoned
46208,1250 W 25TH ST,Abandoned
46222,269 N ELDER AVE,Vacant
46222,1948 W VERMONT ST,Abandoned
46208,1066 ROACHE ST,Abandoned
46218,4940 E 16TH ST,Abandoned
46208,618 CONGRESS AVE,Abandoned
46203,2045 BOYD AVE,Abandoned
46201,44 HENDRICKS PL,Vacant
46201,26 PARKVIEW AVE,Abandoned
46208,741 W 26TH ST,Vacant
46208,763 W 26TH ST,Vacant
46221,639 ARBOR AVE,Abandoned
46221,901 ARBOR AVE,Abandoned
46208,845 EDGEMONT AVE,Abandoned
46221,817 DIVISION ST,Vacant
46221,825 DIVISION ST,Abandoned
46208,727 W 25TH ST,Abandoned
46218,3167 N OLNEY ST,Abandoned
46203,534 S KEYSTONE AVE,Abandoned
46201,943 N PARKER AVE,Abandoned
46218,3142 N EUCLID AVE,Abandoned
46201,511 N CHESTER AVE,Abandoned
46201,923 N DENNY ST,Abandoned
46205,3134 CENTRAL AVE,Abandoned
46201,603 N CHESTER AVE,Abandoned
46205,3160 CENTRAL AVE,Abandoned
46205,3162 CENTRAL AVE,Abandoned
46205,3141 RUCKLE ST,Vacant
46205,3149 RUCKLE ST,Abandoned
46205,3142 RUCKLE ST,Abandoned
46205,3142 RUCKLE ST,Vacant
46208,877 EDGEMONT AVE,Abandoned
46201,314 HARLAN ST,Abandoned
46201,405 VILLA AVE,Abandoned
46201,401 HARLAN ST,Abandoned
46201,2029 SOUTHEASTERN AVE,Abandoned
46201,337 S HAMILTON AVE,Abandoned
46201,420 S HAMILTON AVE,Abandoned
46225,245 E MINNESOTA ST,Abandoned
46225,271 IOWA ST,Vacant
46203,1536 WOODLAWN AVE,Vacant
46222,2032 W 10TH ST,Abandoned
46218,1821 N DEQUINCY ST,Abandoned
46208,812 UDELL ST,Abandoned
46225,237 KANSAS ST,Vacant
46201,64 S DENNY ST,Abandoned
46201,47 S CHESTER AVE,Abandoned
46241,5453 SEERLEY RD,Abandoned
46241,5452 SEERLEY RD,Abandoned
46225,519 E MINNESOTA ST,Abandoned
46225,526 E MINNESOTA ST,Abandoned
46225,207 KANSAS ST,Abandoned
46201,243 N LASALLE ST,Abandoned
46201,44 S CHESTER AVE,Abandoned
46221,652 COFFEY ST,Vacant
46221,652 COFFEY ST,Vacant
46225,606 E MINNESOTA ST,Abandoned
46225,1818 S EAST ST,Abandoned
46218,4513 E 18TH ST,Abandoned
46201,956 N DENNY ST,Abandoned
46218,1850 N BOSART AVE,Abandoned
46201,902 N CHESTER AVE,Abandoned
46225,21 KARCHER ST,Abandoned
46225,11 IOWA ST,Abandoned
46205,3033 WASHINGTON BLVD,Abandoned
46218,4514 E 17TH ST,Abandoned
46201,617 N GRANT AVE,Abandoned
46202,1636 CENTRAL AVE,Vacant
46201,960 N GRANT AVE,Abandoned
46225,343 PARKWAY AVE,Vacant
46208,863 EUGENE ST,Abandoned
46201,4415 E MICHIGAN ST,Abandoned
46203,911 DAWSON ST,Vacant
46201,4305 E MICHIGAN ST,Abandoned
46201,4427 E NEW YORK ST,Vacant
46203,839 LINCOLN ST,Abandoned
46218,2851 STATION ST,Abandoned
46205,3149 BROADWAY ST,Abandoned
46205,3105 N COLLEGE AVE,Abandoned
46201,28 N DENNY ST,Abandoned
46201,119 N CHESTER AVE,Abandoned
46201,948 N BRADLEY AVE,Vacant
46201,126 N COLORADO AVE,Vacant
46201,2618 E MICHIGAN ST,Abandoned
46201,314 N CHESTER AVE,Vacant
46225,1813 S TALBOTT ST,Abandoned
46201,915 N SHERMAN DR,Vacant
46201,621 N BRADLEY AVE,Abandoned
46201,56 N DENNY ST,Abandoned
46201,116 N CHESTER AVE,Abandoned
46201,41 N EUCLID AVE,Abandoned
46201,102 N EUCLID AVE,Abandoned
46208,1109 ROACHE ST,Abandoned
46203,831 LINCOLN ST,Abandoned
46203,851 LINCOLN ST,Abandoned
46201,115 N GALE ST,Abandoned
46201,125 N DENNY ST,Abandoned
46201,3854 E MICHIGAN ST,Vacant
46201,3901 E NEW YORK ST,Abandoned
46201,3902 E NEW YORK ST,Abandoned
46208,1133 W 31ST ST,Abandoned
46203,735 COTTAGE AVE,Abandoned
46202,1814 N NEW JERSEY ST,Vacant
46201,3610 E NEW YORK ST,Vacant
46201,8 N EWING ST,Abandoned
46201,3401 E WASHINGTON ST,Abandoned
46201,59 N DENNY ST,Abandoned
46201,29 N CHESTER AVE,Abandoned
46201,4118 E WASHINGTON ST,Vacant
46201,49 N GRANT AVE,Vacant
46208,1330 CONGRESS AVE,Abandoned
46208,209 W 33RD ST,Abandoned
46208,1320 W 32ND ST,Abandoned
46201,112 N GLADSTONE AVE,Abandoned
46201,28 N GLADSTONE AVE,Abandoned
46201,24 N GLADSTONE AVE,Vacant
46208,1033 W 28TH ST,Abandoned
46203,1631 E SOUTHERN AVE,Vacant
46218,3534 N PARKER AVE,Vacant
46208,887 W 29TH ST,Abandoned
46218,2401 N ARSENAL AVE,Abandoned
46201,3730 E MARKET ST,Abandoned
46201,46 N SHERMAN DR,Abandoned
46201,28 N SHERMAN DR,Abandoned
46201,3720 E MARKET ST,Abandoned
46201,126 N BRADLEY AVE,Abandoned
46201,415 N BRADLEY AVE,Abandoned
46201,411 N BRADLEY AVE,Abandoned
46226,3924 N RIDGEVIEW DR,Abandoned
46226,4007 IRWIN AVE,Abandoned
46208,4032 BOULEVARD PL,Abandoned
46205,2302 E 39TH ST,Vacant
